Currency,Timestamp,Trade Type,Price,Quantity,Value (Incl. Fee),Fee,From,To,Transaction Id
Bitcoin (BTC),2019-08-08 11:51,Buy,15471.75008,0.02658739,411.77,0.41170327,Binance,Binance,2881482
TrueUSD (TUSD),2019-08-08 11:51,Sell,1.323503,311.11766,411.77,0,Binance,Binance,2881482
Bitcoin (BTC),2019-08-08 11:51,Buy,15471.75008,0.005819,90.03,0,Binance,Binance,2881483
TrueUSD (TUSD),2019-08-08 11:51,Sell,1.323503,68.02411,90.03,0.06767429,Binance,Binance,2881483
Binance Coin (BNB),2019-08-08 11:51,Fee,40.52255658,0.00167004,0.07,0,Binance,Binance,2881483
Litecoin (LTC),2019-08-09 18:09,Unknown Acquisition,119.6504227,0.00000546,0,0,Unknown,LTC main (LMDL...tNWz),154ca1660c3622e074231753e4dce19cae2afc6a13a6fbeac0e5eff08947fab8
Chainlink (LINK),2019-08-10 10:59,Buy,3.07872931,78.921,243.22,0.24321962,Binance,Binance,18198738
Bitcoin (BTC),2019-08-10 10:59,Sell,15184.85477,0.01601725,243.22,0,Binance,Binance,18198738
Bitcoin (BTC),2019-08-10 12:42,Buy,15082.88815,0.0049712,74.98,0,Coinbase,Coinbase,235b4dce-ec5c-5cbb-8799-fa133f3d2be3
Bitcoin (BTC),2019-08-14 11:54,Buy,14009.18811,0.004174,58.47,0,Binance,Binance,2959948
Bitcoin (BTC),2019-08-14 11:54,Buy,14010.19021,0.00781817,109.64,0.10969979,Binance,Binance,2959949
TrueUSD (TUSD),2019-08-14 11:54,Sell,1.33613752,43.76372216,58.47,0.04382017,Binance,Binance,2959948
TrueUSD (TUSD),2019-08-14 11:54,Sell,1.33613752,82.06022734,109.64,0,Binance,Binance,2959949
Binance Coin (BNB),2019-08-14 11:54,Fee,37.93297235,0.0011552,0.04,0,Binance,Binance,2959948
Bitcoin (BTC),2019-08-14 19:42,Buy,13926.16137,0.02155135,300.13,0,Coinbase,Coinbase,6441867f-a68b-5df3-963f-5ea05277a8b8
US Dollar (USD),2019-08-14 19:42,Sell,1.33171042,225.37,300.13,0,Coinbase,Coinbase,6441867f-a68b-5df3-963f-5ea05277a8b8
Bitcoin (BTC),2019-08-17 17:02,Transfer In,13399.92882,0.01100618,147.48,0,Unknown,Main (1MmF...FTTb),071a989ff3f386f9842df61e5586dc4173b5fcf7976a0c4ec44f747f0b3c5f6b
Bitcoin (BTC),2019-08-18 3:00,Buy,13495.945,0.019118,258.02,0,Binance,Binance,18607754
Chainlink (LINK),2019-08-18 3:00,Sell,3.26601869,79,258.02,0.19346015,Binance,Binance,18607754
Binance Coin (BNB),2019-08-18 3:00,Fee,36.2110646,0.00534257,0.19,0,Binance,Binance,18607754
Bitcoin (BTC),2019-08-21 3:11,Transfer In,13553.4079,0.01101527,149.29,0,Unknown,Main (1MmF...FTTb),4d8509aa38d99ecdf0b55978db03dc8b1abe212bf46ea2e31db858a3d3190912
Bitcoin (BTC),2019-08-22 12:07,Transfer In,13418.52865,0.01100465,147.67,0,Unknown,Main (1MmF...FTTb),ac32dc60f9dbaeb56ba6d87edc9b1d4975b99ccdfe94ecdebd24c36c5abd553d
Bitcoin (BTC),2019-08-24 11:34,Buy,13889.05877,0.01081455,150.2,0,Coinbase,Coinbase,35e8dfa8-a137-5b74-ae46-5fa17a8b34fb
US Dollar (USD),2019-08-24 11:34,Sell,1.33324978,112.66,150.2,0,Coinbase,Coinbase,35e8dfa8-a137-5b74-ae46-5fa17a8b34fb
Basic Attention Token (BAT),2019-08-28 11:21,Buy,0.25526021,114,29.1,0,Binance,Binance,13275831
Basic Attention Token (BAT),2019-08-28 11:21,Buy,0.25539642,360,91.94,0,Binance,Binance,13275832
Bitcoin (BTC),2019-08-28 11:21,Sell,13621.14252,0.00213636,29.1,0.02178945,Binance,Binance,13275831
Bitcoin (BTC),2019-08-28 11:21,Sell,13621.14252,0.00675,91.94,0.06880974,Binance,Binance,13275832
Binance Coin (BNB),2019-08-28 11:21,Fee,33.7491227,0.00064563,0.02,0,Binance,Binance,13275831
Binance Coin (BNB),2019-08-28 11:21,Fee,33.7491227,0.00203886,0.07,0,Binance,Binance,13275832
Bitcoin (BTC),2019-08-28 18:18,Transfer In,12927.4203,0.00764024,98.77,0,Unknown,Main (1MmF...FTTb),5da74b6b59d0b52f967d023a8b36a715fb45ef093e7ae50bae2dc56f87ecbf69
Bitcoin (BTC),2019-08-29 12:51,Transfer In,12624.94114,0.0078187,98.71,0,Unknown,Main (1MmF...FTTb),fc0f31bdd05a437f28c9ce48f7b3d0d33ff66fc3ea8ca7ef158edfa3c7ff22ea
Bitcoin (BTC),2019-09-16 16:49,Buy,14084.88389,0.01420246,200.04,0,Coinbase,Coinbase,e6d79488-a2a0-5f66-9b97-03ae61ad81bb
US Dollar (USD),2019-09-16 16:49,Sell,1.32450507,151.03,200.04,0,Coinbase,Coinbase,e6d79488-a2a0-5f66-9b97-03ae61ad81bb
Bitcoin (BTC),2019-09-16 16:52,Transfer In,13477.02447,0.00208799,28.14,0,Unknown,Main (1MmF...FTTb),406d526659be0318b3adc4bf643706c2ca77889c0a8c5798ada5edfb5c4c3980
Bitcoin (BTC),2019-09-16 16:55,Transfer Out,13472.56644,0.014764,198.91,0.36281621,Coinbase,1M3jWAPH6Uq5ZS1GwB1jcfkPuRXBscdXw1,7df1962027256ee524a6e4e646ce8d18f69b44a589e3f33ce19e62a171f6656b
Bitcoin (BTC),2019-09-16 16:55,Fee,13472.56644,0.00002693,0.36,0,Coinbase,Coinbase,7df1962027256ee524a6e4e646ce8d18f69b44a589e3f33ce19e62a171f6656b
Ethereum (ETH),2019-09-18 1:16,Buy,282.7041265,0.46119458,130.38,0,Coinbase,Coinbase,23dd166d-69fc-50e1-b681-0dcd7a6bea1a
Bitcoin (BTC),2019-09-18 1:16,Sell,13331.45305,0.00978,130.38,0,Coinbase,Coinbase,23dd166d-69fc-50e1-b681-0dcd7a6bea1a
Ethereum (ETH),2019-09-18 1:18,Transfer Out,282.0483281,0.46,129.74,0.14807537,Coinbase,0x653e4B2cc1fc0875A5dc257c9909f44A86837595,0x3bcea118d2b8a9dda5aa84183a3571aaec299e2e9448459f021e394fff8db719
Ethereum (ETH),2019-09-18 1:18,Fee,282.0483281,0.000525,0.15,0,Coinbase,Coinbase,0x3bcea118d2b8a9dda5aa84183a3571aaec299e2e9448459f021e394fff8db719
Ethereum (ETH),2019-09-21 0:19,Buy,289.6479467,0.44856796,129.93,0,Coinbase,Coinbase,093af36f-da6a-54da-8b0b-b8c151a842f6
Bitcoin (BTC),2019-09-21 0:19,Sell,13134.5318,0.009892,129.93,0,Coinbase,Coinbase,093af36f-da6a-54da-8b0b-b8c151a842f6
Bitcoin (BTC),2019-09-24 12:34,Transfer In,12647.72222,0.00781965,98.9,0,Unknown,Main (1MmF...FTTb),08238509df696f229895f05252c8f8061dd582b278d4bdb40b2d1ef7ce8e5312
Bitcoin (BTC),2019-09-25 18:50,Transfer In,11215.83104,0.01755696,196.92,0,Unknown,Main (1MmF...FTTb),3611690aa415e38a6e4cde7ccf1e2bce2d908eee2811d4e4b8be4ad47bdff868
Basic Attention Token (BAT),2019-09-27 19:18,Buy,0.22084671,200,44.17,0,Binance,Binance,13546560
Bitcoin (BTC),2019-09-27 19:18,Sell,10836.44311,0.004076,44.17,0.03312282,Binance,Binance,13546560
Binance Coin (BNB),2019-09-27 19:18,Fee,20.72754133,0.00159801,0.03,0,Binance,Binance,13546560
Ethereum (ETH),2019-09-30 11:51,Buy,234.7451054,0.55317885,129.86,0,Coinbase,Coinbase,af733eb6-9841-5f91-951d-05830657c0e0
Bitcoin (BTC),2019-09-30 11:51,Sell,10729.24295,0.012103,129.86,0,Coinbase,Coinbase,af733eb6-9841-5f91-951d-05830657c0e0
Bitcoin (BTC),2019-10-03 14:27,Buy,10843.62905,0.00552299,59.89,0,Binance,Binance,20325281
Chainlink (LINK),2019-10-03 14:27,Sell,2.60388064,23,59.89,0.04487348,Binance,Binance,20325281
Binance Coin (BNB),2019-10-03 14:27,Fee,20.62996871,0.00217516,0.04,0,Binance,Binance,20325281
Chainlink (LINK),2019-10-05 1:07,Buy,2.63032923,57,149.93,0,Binance,Binance,20363911
Bitcoin (BTC),2019-10-05 1:07,Sell,10818.16742,0.01385898,149.93,0.11223528,Binance,Binance,20363911
Binance Coin (BNB),2019-10-05 1:07,Fee,20.77580802,0.00540221,0.11,0,Binance,Binance,20363911
Bitcoin (BTC),2019-10-09 14:15,Buy,11494.59727,0.01435185,164.97,0,Binance,Binance,20782680
Bitcoin (BTC),2019-10-09 14:15,Buy,11494.59727,0.00382692,43.99,0,Binance,Binance,20782681
Chainlink (LINK),2019-10-09 14:15,Sell,3.66597191,45,164.97,0.12369808,Binance,Binance,20782680
Chainlink (LINK),2019-10-09 14:15,Sell,3.66574202,12,43.99,0.03301496,Binance,Binance,20782681
Binance Coin (BNB),2019-10-09 14:15,Fee,23.12943758,0.00534808,0.12,0,Binance,Binance,20782680
Binance Coin (BNB),2019-10-09 14:15,Fee,23.12943758,0.0014274,0.03,0,Binance,Binance,20782681
Ethereum (ETH),2019-10-09 19:20,Buy,258.4423471,0.50634013,130.86,0,Coinbase,Coinbase,85206e2a-6a05-5746-b364-ec7e18ea91cc
Bitcoin (BTC),2019-10-09 19:20,Sell,11246.10963,0.011636,130.86,0,Coinbase,Coinbase,85206e2a-6a05-5746-b364-ec7e18ea91cc
Bitcoin (BTC),2019-10-10 12:20,Transfer In,11342.4726,0.00228632,25.93,0,Unknown,Main (1MmF...FTTb),af96511eb6110e06fb1ccef8c0e39cbdc1466406f64fb7721846a7ebfd9ebb4e
Chainlink (LINK),2019-10-13 5:16,Buy,3.35882936,60,201.53,0,Binance,Binance,21113986
Bitcoin (BTC),2019-10-13 5:16,Sell,11012.55526,0.0183,201.53,0.15114427,Binance,Binance,21113986
Binance Coin (BNB),2019-10-13 5:16,Fee,23.05121406,0.00655689,0.15,0,Binance,Binance,21113986
Ethereum (ETH),2019-10-16 8:44,Buy,240.508805,0.41528617,99.88,0,Coinbase,Coinbase,1ddf80af-9762-5a1a-9b44-36f061db0708
US Dollar (USD),2019-10-16 8:44,Sell,1.31889582,75.73,99.88,0,Coinbase,Coinbase,1ddf80af-9762-5a1a-9b44-36f061db0708
Bitcoin (BTC),2019-10-18 14:52,Transfer In,10427.66751,0.01527088,159.24,0,Unknown,Main (1MmF...FTTb),f7dac7fa3e1ff0fbab3ba09566fe3e2bb8ed4b7eae8047c7a7b7e0ec0186eed5
Bitcoin (BTC),2019-10-18 15:11,Buy,10426.61731,0.00344875,35.96,0,Binance,Binance,13864721
Bitcoin (BTC),2019-10-18 15:11,Buy,10426.61731,0.01514142,157.87,0,Binance,Binance,13864722
Basic Attention Token (BAT),2019-10-18 15:11,Sell,0.28767037,125,35.96,0.02699081,Binance,Binance,13864721
Basic Attention Token (BAT),2019-10-18 15:11,Sell,0.28756611,549,157.87,0.1184473,Binance,Binance,13864722
Binance Coin (BNB),2019-10-18 15:11,Fee,23.9794686,0.00112558,0.03,0,Binance,Binance,13864721
Binance Coin (BNB),2019-10-18 15:11,Fee,23.9794686,0.00493953,0.12,0,Binance,Binance,13864722
Bitcoin (BTC),2019-10-23 8:45,Buy,10226.7036,0.00978445,100.06,0,Coinbase,Coinbase,99460b9c-f113-5b96-9bf5-a53085ce2440
US Dollar (USD),2019-10-23 8:45,Sell,1.30835081,76.48,100.06,0,Coinbase,Coinbase,99460b9c-f113-5b96-9bf5-a53085ce2440
Ravencoin (RVN),2019-10-23 9:03,Buy,0.03650962,"1,054.94",38.55,0.03855416,Binance,Binance,10022975
Ravencoin (RVN),2019-10-23 9:03,Buy,0.03650962,"3,378.62",123.48,0.12347554,Binance,Binance,10022976
Bitcoin (BTC),2019-10-23 9:03,Sell,9894.206753,0.00389664,38.55,0,Binance,Binance,10022975
Bitcoin (BTC),2019-10-23 9:03,Sell,9894.206753,0.01247958,123.48,0,Binance,Binance,10022976
Basic Attention Token (BAT),2019-10-24 12:40,Buy,0.30927807,512.487,158.66,0.15865965,Binance,Binance,14024249
Bitcoin (BTC),2019-10-24 12:40,Sell,9737.974475,0.01629288,158.66,0,Binance,Binance,14024249
Basic Attention Token (BAT),2019-10-31 17:54,Buy,0.30372889,211.8579206,64.35,0,Coinbase,Coinbase,3001650c-025b-59c1-a45c-bdd41d40c601
Bitcoin (BTC),2019-10-31 17:54,Sell,11793.87289,0.005456,64.35,0,Coinbase,Coinbase,3001650c-025b-59c1-a45c-bdd41d40c601
Basic Attention Token (BAT),2019-10-31 18:29,Transfer Out,0.30750656,507.837,156.16,1.42990553,Binance,Wallace ETH (0xf5...76A0),0x4082ffe136a8a87a633cd7a40e23fb4f63065d03c60bbf16237ccbf9d1497ed4
Basic Attention Token (BAT),2019-10-31 18:29,Fee,0.30750656,4.65,1.43,0,Binance,Binance,0x4082ffe136a8a87a633cd7a40e23fb4f63065d03c60bbf16237ccbf9d1497ed4
Basic Attention Token (BAT),2019-10-31 18:32,Transfer In,0.30750656,507.837,156.16,0,Binance,Wallace ETH (0xf5...76A0),0x4082ffe136a8a87a633cd7a40e23fb4f63065d03c60bbf16237ccbf9d1497ed4
Bitcoin (BTC),2019-10-31 20:02,Transfer In,12003.8639,0.01,120.04,0,Unknown,Binance,8b4af1139116da55240c309388155962706403dd0b5009cc71c4b64d91fc6e93
Bitcoin (BTC),2019-10-31 22:56,Transfer Out,11960.66449,0.0099978,119.58,0.02631346,Binance,bnb1ppvp3zz5pgx6fa68v6k6uplghj9nvl947ptyga,5CF387579B07D06DC85B118BEEB0568D73E0866F0B73CB9DFBDC28442871D649
Bitcoin (BTC),2019-10-31 22:56,Fee,11960.66449,0.0000022,0.03,0,Binance,Binance,5CF387579B07D06DC85B118BEEB0568D73E0866F0B73CB9DFBDC28442871D649
Litecoin (LTC),2019-11-04 9:53,Buy,80.82737247,3.17073485,256.28,0,Coinbase,Coinbase,8813ba42-8054-5e00-a731-1ef4e61d590f
Bitcoin (BTC),2019-11-04 9:53,Sell,11970.16949,0.02141007,256.28,0,Coinbase,Coinbase,8813ba42-8054-5e00-a731-1ef4e61d590f
Litecoin (LTC),2019-11-04 16:32,Transfer Out,80.81530642,3.5551,287.31,0.00033942,Coinbase,ltc1qyrtpxq780wtmvqzsucm5crtz0en8cq56j8xthm,7a187681b01b48fedbe34a8546aa877eea5da16e4f71ead680661b3dc1d00dab
Litecoin (LTC),2019-11-04 16:32,Fee,80.81530642,0.0000042,0,0,Coinbase,Coinbase,7a187681b01b48fedbe34a8546aa877eea5da16e4f71ead680661b3dc1d00dab
Stellar (XLM),2019-11-05 3:56,Airdrop,0.0979953,0.88159913,0.09,0,Binance,Binance,5698287131
GAS,2019-11-05 8:24,Airdrop,2.11438847,0.08549766,0.18,0,Binance,Binance,5700596574
Litecoin (LTC),2019-11-05 9:59,Unknown Acquisition,80.73155059,3.55509548,287.01,0,Unknown,LTC main (LMDL...tNWz),d0146736febcbf6363cc3e34b61d44ba599e108d1df031693c0c2d3585c540b3
Litecoin (LTC),2019-11-05 11:16,Buy,83.33548584,0.39,32.5,0,Binance,Binance,35599081
Bitcoin (BTC),2019-11-05 11:16,Sell,12294.99644,0.00264342,32.5,0.02441867,Binance,Binance,35599081
Binance Coin (BNB),2019-11-05 11:16,Fee,27.15629401,0.00089919,0.02,0,Binance,Binance,35599081
Litecoin (LTC),2019-11-05 11:16,Buy,83.33548584,1.38,115,0,Binance,Binance,35599082
Bitcoin (BTC),2019-11-05 11:16,Sell,12294.99644,0.00935364,115,0.0864059,Binance,Binance,35599082
Binance Coin (BNB),2019-11-05 11:16,Fee,27.15629401,0.0031818,0.09,0,Binance,Binance,35599082
Bitcoin (BTC),2019-11-05 16:22,Transfer In,12333.32323,0.00155115,19.13,0,Unknown,Main (1MmF...FTTb),e2599197a87834fa9a33f8b97c867fa41d7432f332cd9e06edcc39eaad79d749
Bitcoin (BTC),2019-11-19 23:29,Transfer In,10811.40275,0.00196606,21.26,0,Unknown,Main (1MmF...FTTb),37360759f66ab43eb8a92b5f2cb792db9bea2189bd436f230ebd0a15cb4a62a0
Bitcoin (BTC),2019-11-21 1:06,Transfer In,10774.64078,0.00920181,99.15,0,Unknown,Main (1MmF...FTTb),9135b639d97349c19147ac6581f106dbfcc9b91c1031b4819abc7141a27dd5a0
Bitcoin (BTC),2019-11-26 14:43,Transfer In,9408.820911,0.02018788,189.94,0,Unknown,Main (1MmF...FTTb),df237f3aa3753d6a7f963742d57b1a31903b01a9d900b5054e5cf03496e0a1c0
GAS,2019-12-05 12:22,Airdrop,1.35102965,0.08273967,0.11,0,Binance,Binance,5928272949
Bitcoin (BTC),2019-12-29 11:51,Transfer In,9691.775134,0.01056212,102.37,0,Unknown,Main (1MmF...FTTb),b17f6d4ed5dc451bec31b89fc159fa301820611cbcc8b942e642911ef396723e
