Currency,Timestamp,Trade Type,Price,Quantity,Value (Incl. Fee),Fee,From,To,Transaction Id
TrueUSD (TUSD),2019-05-13 1:09,Buy,1.35077426,976.0804497,1318.46,0,Bittrex,Bittrex,a8bb4782-51c0-4864-a53e-b8e1b5433354
Bitcoin (BTC),2019-05-13 1:09,Sell,9641.500855,0.13709073,1321.76,3.29604348,Bittrex,Bittrex,a8bb4782-51c0-4864-a53e-b8e1b5433354
Stellar (XLM),2019-05-14 11:23,Buy,0.16422182,609.3138522,100.06,0,Coinbase,Coinbase,8e993f55-71f2-58e6-9752-65ff1b20301b
US Dollar (USD),2019-05-14 11:23,Sell,1.34691926,74.29,100.06,0,Coinbase,Coinbase,8e993f55-71f2-58e6-9752-65ff1b20301b
Stellar (XLM),2019-05-14 11:26,Transfer Out,0.15723648,609.3138522,95.81,0,Coinbase,GC7KKHR5Z5JJWFTH6RZY4AMSA2NTYYEYH5QJZOWWFMUQBBDJWJK2Y5I4:::ucl:::Bought from CoinBase,77f91ad01812dcd3480acb6fdb90559ac860f3acccc6540766e6d1e356e4fdbc
TrueUSD (TUSD),2019-05-15 10:38,Transfer Out,1.34552174,975.0804497,1311.99,1.34552174,Bittrex,Binance,0xbcc703d484c793d16a2ad7f0fa954ea6e8cc19befd886bab506526eeccac5fd5
TrueUSD (TUSD),2019-05-15 10:38,Fee,1.34552174,1,1.35,0,Bittrex,Bittrex,0xbcc703d484c793d16a2ad7f0fa954ea6e8cc19befd886bab506526eeccac5fd5
TrueUSD (TUSD),2019-05-15 10:39,Transfer In,1.34552174,975.0804497,1311.99,0,Bittrex,Binance,0xbcc703d484c793d16a2ad7f0fa954ea6e8cc19befd886bab506526eeccac5fd5
Tether (USDT),2019-05-15 11:52,Buy,1.34210353,971.764728,1304.21,0,Binance,Binance,4066451
TrueUSD (TUSD),2019-05-15 11:52,Sell,1.33754038,975.08,1304.21,0.97900734,Binance,Binance,4066451
Binance Coin (BNB),2019-05-15 11:52,Fee,36.38881907,0.02690407,0.98,0,Binance,Binance,4066451
EOS,2019-05-15 11:58,Buy,8.39874968,15,125.98,0,Binance,Binance,21678163
Tether (USDT),2019-05-15 11:58,Sell,1.34210353,93.8685,125.98,0.09442454,Binance,Binance,21678163
Binance Coin (BNB),2019-05-15 11:58,Fee,36.24352669,0.00260528,0.09,0,Binance,Binance,21678163
Binance Coin (BNB),2019-05-15 11:59,Buy,36.0619192,7.994,288.5,0.21637152,Binance,Binance,26847285
Tether (USDT),2019-05-15 11:59,Sell,1.34210353,214.9576,288.5,0,Binance,Binance,26847285
Cardano (ADA),2019-05-15 12:00,Buy,0.11807827,"1,000",118.08,0,Binance,Binance,13384954
Tether (USDT),2019-05-15 12:00,Sell,1.34210353,87.98,118.08,0.08867181,Binance,Binance,13384954
Binance Coin (BNB),2019-05-15 12:00,Fee,36.08197125,0.00245751,0.09,0,Binance,Binance,13384954
TrueUSD (TUSD),2019-05-15 12:03,Buy,1.33686933,149.43,199.77,0,Binance,Binance,4066897
TrueUSD (TUSD),2019-05-15 12:03,Buy,1.33700354,262.32,350.72,0,Binance,Binance,4066898
TrueUSD (TUSD),2019-05-15 12:03,Buy,1.33727196,2.05,2.74,0,Binance,Binance,4066899
TrueUSD (TUSD),2019-05-15 12:03,Buy,1.33740617,17.2,23,0,Binance,Binance,4066900
Tether (USDT),2019-05-15 12:03,Sell,1.34210353,148.847223,199.77,0.14987046,Binance,Binance,4066897
Tether (USDT),2019-05-15 12:03,Sell,1.34210353,261.323184,350.72,0.26309367,Binance,Binance,4066898
Tether (USDT),2019-05-15 12:03,Sell,1.34210353,2.04262,2.74,0.00205593,Binance,Binance,4066899
Tether (USDT),2019-05-15 12:03,Sell,1.34210353,17.1398,23,0.01725073,Binance,Binance,4066900
Binance Coin (BNB),2019-05-15 12:03,Fee,36.08788509,0.00415293,0.15,0,Binance,Binance,4066897
Binance Coin (BNB),2019-05-15 12:03,Fee,36.08788509,0.00729036,0.26,0,Binance,Binance,4066898
Binance Coin (BNB),2019-05-15 12:03,Fee,36.08788509,0.00005697,0,0,Binance,Binance,4066899
Binance Coin (BNB),2019-05-15 12:03,Fee,36.08788509,0.00047802,0.02,0,Binance,Binance,4066900
DASH,2019-05-15 12:05,Buy,199.1010586,0.07042,14.02,0,Binance,Binance,149902
Tether (USDT),2019-05-15 12:05,Sell,1.34210353,10.446807,14.02,0.0105089,Binance,Binance,149902
Binance Coin (BNB),2019-05-15 12:05,Fee,36.02888106,0.00029168,0.01,0,Binance,Binance,149902
DASH,2019-05-15 12:05,Buy,199.1010586,0.3,59.73,0,Binance,Binance,149903
Tether (USDT),2019-05-15 12:05,Sell,1.34210353,44.505,59.73,0.04477958,Binance,Binance,149903
Binance Coin (BNB),2019-05-15 12:05,Fee,36.02888106,0.00124288,0.04,0,Binance,Binance,149903
DASH,2019-05-15 12:05,Buy,199.1010586,0.337,67.1,0,Binance,Binance,149904
Tether (USDT),2019-05-15 12:05,Sell,1.34210353,49.99395,67.1,0.05030244,Binance,Binance,149904
Binance Coin (BNB),2019-05-15 12:05,Fee,36.02888106,0.00139617,0.05,0,Binance,Binance,149904
DASH,2019-05-15 12:05,Buy,199.1010586,0.2615,52.06,0,Binance,Binance,149905
Tether (USDT),2019-05-15 12:05,Sell,1.34210353,38.793525,52.06,0.03903261,Binance,Binance,149905
Binance Coin (BNB),2019-05-15 12:05,Fee,36.02888106,0.00108337,0.04,0,Binance,Binance,149905
TrueUSD (TUSD),2019-05-15 12:16,Buy,1.34552174,19.5766633,26.34,0,Binance,Binance,181607
Bitcoin Cash (BCH),2019-05-15 12:16,Sell,515.3751907,0.05111,26.34,0.01961738,Binance,Binance,181607
Binance Coin (BNB),2019-05-15 12:16,Fee,36.09984718,0.00054342,0.02,0,Binance,Binance,181607
Bitcoin (BTC),2019-05-15 21:41,Buy,11145.75253,0.0122985,137.08,0,Binance,Binance,35667140
EOS,2019-05-15 21:41,Sell,9.1384025,15,137.08,0.10271685,Binance,Binance,35667140
Binance Coin (BNB),2019-05-15 21:41,Fee,36.36573847,0.00282455,0.1,0,Binance,Binance,35667140
Bitcoin (BTC),2019-05-16 2:53,Buy,10903.67188,0.00825339,89.99,0,Binance,Binance,8272826
DASH,2019-05-16 2:53,Sell,217.8989788,0.413,89.99,0.06740296,Binance,Binance,8272826
Binance Coin (BNB),2019-05-16 2:53,Fee,36.4691205,0.00184822,0.07,0,Binance,Binance,8272826
Bitcoin (BTC),2019-05-16 2:55,Buy,10917.46511,0.0111111,121.31,0,Binance,Binance,8272844
DASH,2019-05-16 2:55,Sell,218.1746228,0.556,121.31,0.09096919,Binance,Binance,8272844
Binance Coin (BNB),2019-05-16 2:55,Fee,36.53190257,0.00249013,0.09,0,Binance,Binance,8272844
Binance Coin (BNB),2019-05-16 10:25,Buy,35.4089308,2.378215,84.27,0.06320494,Binance,Binance,45624619
Bitcoin (BTC),2019-05-16 10:25,Sell,10665.01937,0.00790184,84.27,0,Binance,Binance,45624619
Bitcoin (BTC),2019-05-16 23:20,Buy,9762.671659,0.062148,606.73,0,Binance,Binance,709468
TrueUSD (TUSD),2019-05-16 23:20,Sell,1.3465754,450.573,606.73,0.46095027,Binance,Binance,709468
Binance Coin (BNB),2019-05-16 23:20,Fee,32.37656041,0.01423716,0.46,0,Binance,Binance,709468
TrueUSD (TUSD),2019-05-17 10:17,Buy,1.3465754,623.7429,839.92,0,Binance,Binance,733336
Bitcoin (BTC),2019-05-17 10:17,Sell,9776.137413,0.085915,839.92,0.63026554,Binance,Binance,733336
Binance Coin (BNB),2019-05-17 10:17,Fee,33.78883693,0.01865307,0.63,0,Binance,Binance,733336
TrueUSD (TUSD),2019-05-17 10:19,Transfer Out,1.3465754,622.147013,837.77,2.15452064,Binance,0xf58CbA27c683bC918566CBAC888D3Fab5BF076A0,0x6ff3d362a2b82e7569c46cefeac9abd74ac0dfc812691c78b1a938bacb4a509d
TrueUSD (TUSD),2019-05-17 10:19,Fee,1.3465754,1.6,2.15,0,Binance,Binance,0x6ff3d362a2b82e7569c46cefeac9abd74ac0dfc812691c78b1a938bacb4a509d
TrueUSD (TUSD),2019-05-17 10:47,Transfer In,1.3465754,622.147013,837.77,0,Binance,Wallace ETH (0xf5...76A0),0x6ff3d362a2b82e7569c46cefeac9abd74ac0dfc812691c78b1a938bacb4a509d
Ethereum (ETH),2019-05-22 1:33,Buy,361.1617546,0.13832521,49.96,0,Coinbase,Coinbase,24faa7ef-d6b0-5c9d-ab0f-3f8bd682a27b
US Dollar (USD),2019-05-22 1:33,Sell,1.34259004,37.21,49.96,0,Coinbase,Coinbase,24faa7ef-d6b0-5c9d-ab0f-3f8bd682a27b
Ethereum (ETH),2019-05-22 1:36,Transfer Out,345.9386521,0.13796206,47.73,0.1235001,Coinbase,0xf58CbA27c683bC918566CBAC888D3Fab5BF076A0,0x0add89a7cc525f3d643f3154c9cc23303ebc12f8e31e09ea47d71d971e9ac5d4
Ethereum (ETH),2019-05-22 1:36,Fee,345.9386521,0.000357,0.12,0,Coinbase,Coinbase,0x0add89a7cc525f3d643f3154c9cc23303ebc12f8e31e09ea47d71d971e9ac5d4
Ethereum (ETH),2019-05-22 1:37,Transfer In,345.4081407,0.13796206,47.65,0,Coinbase,Wallace ETH (0xf5...76A0),0x0add89a7cc525f3d643f3154c9cc23303ebc12f8e31e09ea47d71d971e9ac5d4
TrueUSD (TUSD),2019-05-22 1:43,Transfer Out,1.33820217,622.147013,832.56,0.23822974,Wallace ETH (0xf5...76A0),Binance,0x334a038f3e8c33a59576cb0b3f8a04f7547417c776f2252ada33f85d5a01fc92
Ethereum (ETH),2019-05-22 1:43,Fee,345.9183249,0.00068869,0.24,0,Wallace ETH (0xf5...76A0),Wallace ETH (0xf5...76A0),0x334a038f3e8c33a59576cb0b3f8a04f7547417c776f2252ada33f85d5a01fc92
TrueUSD (TUSD),2019-05-22 1:45,Transfer In,1.33820217,622.147013,832.56,0,0xf58cba27c683bc918566cbac888d3fab5bf076a0,Binance,0x334a038f3e8c33a59576cb0b3f8a04f7547417c776f2252ada33f85d5a01fc92
Bitcoin (BTC),2019-05-22 7:12,Buy,10482.13763,0.079426,832.55,0,Binance,Binance,864913
TrueUSD (TUSD),2019-05-22 7:12,Sell,1.33820217,622.143858,832.55,0.62458628,Binance,Binance,864913
Binance Coin (BNB),2019-05-22 7:12,Fee,42.71691892,0.01462152,0.62,0,Binance,Binance,864913
TrueUSD (TUSD),2019-05-22 16:09,Buy,1.33820217,22.0196805,29.47,0,Binance,Binance,874584
Bitcoin (BTC),2019-05-22 16:09,Sell,10618.66102,0.002775,29.47,0.02207679,Binance,Binance,874584
Binance Coin (BNB),2019-05-22 16:09,Fee,42.4251741,0.00052037,0.02,0,Binance,Binance,874584
TrueUSD (TUSD),2019-05-22 16:09,Buy,1.33820217,63.52777012,85.01,0,Binance,Binance,874585
Bitcoin (BTC),2019-05-22 16:09,Sell,10618.66102,0.008006,85.01,0.06369334,Binance,Binance,874585
Binance Coin (BNB),2019-05-22 16:09,Fee,42.4251741,0.00150131,0.06,0,Binance,Binance,874585
TrueUSD (TUSD),2019-05-22 16:09,Buy,1.33820217,42.3730068,56.7,0,Binance,Binance,874586
Bitcoin (BTC),2019-05-22 16:09,Sell,10618.66102,0.00534,56.7,0.0424833,Binance,Binance,874586
Binance Coin (BNB),2019-05-22 16:09,Fee,42.4251741,0.00100137,0.04,0,Binance,Binance,874586
TrueUSD (TUSD),2019-05-22 16:09,Buy,1.33820217,46.60237246,62.36,0,Binance,Binance,874588
Bitcoin (BTC),2019-05-22 16:09,Sell,10618.66102,0.005873,62.36,0.04671775,Binance,Binance,874588
Binance Coin (BNB),2019-05-22 16:09,Fee,42.4251741,0.00110118,0.05,0,Binance,Binance,874588
TrueUSD (TUSD),2019-05-22 16:09,Buy,1.33820217,31.08147334,41.59,0,Binance,Binance,874589
Bitcoin (BTC),2019-05-22 16:09,Sell,10618.66102,0.003917,41.59,0.03115832,Binance,Binance,874589
Binance Coin (BNB),2019-05-22 16:09,Fee,42.4251741,0.00073443,0.03,0,Binance,Binance,874589
TrueUSD (TUSD),2019-05-22 16:09,Buy,1.33820217,11.39468872,15.25,0,Binance,Binance,874590
Bitcoin (BTC),2019-05-22 16:09,Sell,10618.66102,0.001436,15.25,0.01142892,Binance,Binance,874590
Binance Coin (BNB),2019-05-22 16:09,Fee,42.4251741,0.00026939,0.01,0,Binance,Binance,874590
TrueUSD (TUSD),2019-05-22 16:09,Buy,1.33820217,45.11852372,60.38,0,Binance,Binance,874591
Bitcoin (BTC),2019-05-22 16:09,Sell,10618.66102,0.005686,60.38,0.04519978,Binance,Binance,874591
Binance Coin (BNB),2019-05-22 16:09,Fee,42.4251741,0.0010654,0.05,0,Binance,Binance,874591
TrueUSD (TUSD),2019-05-22 16:10,Buy,1.33820217,106.7577591,142.86,0,Binance,Binance,874592
Bitcoin (BTC),2019-05-22 16:10,Sell,10618.66102,0.013454,142.86,0.10714132,Binance,Binance,874592
Binance Coin (BNB),2019-05-22 16:10,Fee,42.50425265,0.00252072,0.11,0,Binance,Binance,874592
TrueUSD (TUSD),2019-05-22 16:11,Buy,1.33820217,261.3716238,349.77,0,Binance,Binance,874607
Bitcoin (BTC),2019-05-22 16:11,Sell,10618.66102,0.032939,349.77,0.26242978,Binance,Binance,874607
Binance Coin (BNB),2019-05-22 16:11,Fee,42.4959286,0.00617541,0.26,0,Binance,Binance,874607
Bitcoin (BTC),2019-05-22 16:26,Buy,10405.65938,0.081051,843.39,0,Binance,Binance,875765
TrueUSD (TUSD),2019-05-22 16:26,Sell,1.33820217,630.2404184,843.39,0.63425981,Binance,Binance,875765
Binance Coin (BNB),2019-05-22 16:26,Fee,41.8749807,0.01514651,0.63,0,Binance,Binance,875765
Ethereum (ETH),2019-05-22 21:17,Transfer Out,328.5158376,0.13688697,44.97,0.12693852,Wallace ETH (0xf5...76A0),0x591050a8db63a3e9e98a91061b4c31e9f08ff715,0xed8310501b70a705f623190b782742c08611e9cb0f5705ad32da5b82d936b5a6
Ethereum (ETH),2019-05-22 21:17,Fee,328.5158376,0.0003864,0.13,0,Wallace ETH (0xf5...76A0),Wallace ETH (0xf5...76A0),0xed8310501b70a705f623190b782742c08611e9cb0f5705ad32da5b82d936b5a6
Bitcoin (BTC),2019-05-23 11:58,Buy,10451.68401,0.05164804,540.35,0.54035206,Binance,Binance,47059168
Binance Coin (BNB),2019-05-23 11:58,Sell,42.85085928,12.61,540.35,0,Binance,Binance,47059168
TrueUSD (TUSD),2019-05-23 13:05,Buy,1.34640109,638.0431981,859.92,0.85992198,Binance,Binance,898940
Bitcoin (BTC),2019-05-23 13:05,Sell,10609.64062,0.081051,859.92,0,Binance,Binance,898940
Bitcoin (BTC),2019-05-24 11:13,Buy,10887.41721,0.002466,26.85,0,Binance,Binance,920234
Bitcoin (BTC),2019-05-24 11:13,Buy,10890.58427,0.01339659,146.04,0.14604274,Binance,Binance,920235
Bitcoin (BTC),2019-05-24 11:13,Buy,10892.79852,0.00905294,98.71,0.09868875,Binance,Binance,920236
Bitcoin (BTC),2019-05-24 11:13,Buy,10894.18076,0.0315664,344.23,0.34425611,Binance,Binance,920237
Bitcoin (BTC),2019-05-24 11:13,Buy,10894.18076,0.01944454,212.04,0.21200076,Binance,Binance,920238
TrueUSD (TUSD),2019-05-24 11:13,Sell,1.34197345,20.00663334,26.85,0.02005026,Binance,Binance,920234
TrueUSD (TUSD),2019-05-24 11:13,Sell,1.34197345,108.8268435,146.04,0,Binance,Binance,920235
TrueUSD (TUSD),2019-05-24 11:13,Sell,1.34197345,73.556254,98.71,0,Binance,Binance,920236
TrueUSD (TUSD),2019-05-24 11:13,Sell,1.34197345,256.5135119,344.23,0,Binance,Binance,920237
TrueUSD (TUSD),2019-05-24 11:13,Sell,1.34197345,158.0093359,212.04,0,Binance,Binance,920238
Binance Coin (BNB),2019-05-24 11:13,Fee,45.69026626,0.00043883,0.02,0,Binance,Binance,920234
